loan_amount,term,interest_rate,installment,grade,sub_grade,loan_status,loan_purpose,balance,paid_total,paid_principal,paid_interest,annual_income,debt_to_income,emp_length,homeownership,verified_income,state,delinq_2y,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,credit_utilization,dti_group,income_group,problem_loan,issue_month,risk_category,issue_date
22400,36,7.35,695.24,A,A4,Current,debt_consolidation,20147.25,2771.81,2252.75,519.06,51000.0,28.24,5.0,RENT,Source Verified,VA,0,0,22,9,60906,21982,36.09168226447312,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
4000,36,13.59,135.92,C,C2,Current,home_improvement,3631.32,540.66,368.68,171.98,60000.0,23.58,10.0,MORTGAGE,Source Verified,AL,0,1,27,6,221712,54852,24.74020350725265,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
35950,60,17.09,895.2,D,D1,Current,debt_consolidation,33978.58,4441.87,1971.42,2470.45,25000.0,29.67,10.0,MORTGAGE,Source Verified,CO,0,0,9,5,244946,28271,11.541727564442775,20-30,Low,0,Jan-2018,No Current Problem,2018-01-01
35000,60,10.91,759.42,B,B4,Current,debt_consolidation,33210.94,3016.47,1789.06,1227.41,110000.0,27.29,10.0,MORTGAGE,Verified,VA,0,1,61,35,486840,106502,21.87618108618848,20-30,Very High,0,Jan-2018,No Current Problem,2018-01-01
5000,36,13.59,169.9,C,C2,Current,debt_consolidation,4420.65,817.41,579.35,238.06,72000.0,25.2,Unknown,MORTGAGE,Verified,CA,0,8,55,18,214942,46380,21.57791404192759,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
3900,36,5.32,117.45,A,A1,Current,credit_card,3496.69,467.49,403.31,64.18,25000.0,15.56,1.0,RENT,Source Verified,MA,0,0,4,2,19910,15502,77.86037167252637,10-20,Low,0,Feb-2018,No Current Problem,2018-02-01
11000,36,10.91,359.66,B,B4,Current,home_improvement,9677.91,1754.97,1322.09,432.88,90000.0,15.71,10.0,MORTGAGE,Source Verified,KS,0,2,15,14,184929,31335,16.944340801064193,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
14400,60,16.01,350.26,C,C5,Current,debt_consolidation,13919.22,1037.97,480.78,557.19,83600.0,23.94,10.0,RENT,Verified,CA,0,4,58,28,429662,90915,21.159655729387286,20-30,High,0,Mar-2018,No Current Problem,2018-03-01
40000,60,10.42,858.18,B,B3,Current,small_business,37401.02,4244.59,2598.98,1645.61,70000.0,8.86,5.0,OWN,Source Verified,TN,0,1,12,4,48837,22224,45.506480742060326,0-10,Medium,0,Jan-2018,No Current Problem,2018-01-01
2500,36,9.43,80.01,B,B1,Current,credit_card,2378.8,158.71,121.2,37.51,61000.0,11.82,9.0,MORTGAGE,Source Verified,MI,0,3,21,5,123140,38968,31.645281793081047,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
14400,60,9.43,301.94,B,B1,Current,debt_consolidation,13829.2,868.1,570.8,297.3,63000.0,9.31,6.0,MORTGAGE,Source Verified,ND,0,2,54,17,214719,65744,30.61862247868144,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
7150,36,6.07,217.75,A,A2,Current,credit_card,6418.14,868.59,731.86,136.73,50000.0,20.93,5.0,RENT,Source Verified,CA,0,0,19,11,66125,27035,40.88468809073724,20-30,Medium,0,Feb-2018,No Current Problem,2018-02-01
22000,60,11.99,489.27,B,B5,Current,home_improvement,20625.54,2431.7,1374.46,1057.24,65000.0,24.02,10.0,MORTGAGE,Source Verified,CO,0,0,29,12,89380,48829,54.63078988588052,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
5000,36,10.42,162.33,B,B3,Current,house,4395.02,808.76,604.98,203.78,109000.0,14.76,10.0,MORTGAGE,Not Verified,TX,0,5,59,24,230050,24610,10.69767441860465,10-20,Very High,0,Jan-2018,No Current Problem,2018-01-01
32000,36,14.07,1094.78,C,C3,Current,home_improvement,30552.4,2164.55,1447.6,716.95,210000.0,8.75,3.0,MORTGAGE,Source Verified,NC,3,1,16,13,355586,39189,11.02096258007908,0-10,Very High,0,Mar-2018,No Current Problem,2018-03-01
25600,36,13.59,869.86,C,C2,Current,debt_consolidation,23240.53,3460.11,2359.47,1100.64,57626.0,18.34,10.0,MORTGAGE,Not Verified,GA,0,1,28,8,94851,27368,28.85367576514744,10-20,Medium,0,Feb-2018,No Current Problem,2018-02-01
10700,36,10.9,349.8,B,B4,Current,debt_consolidation,10192.49,686.64,507.51,179.13,145000.0,20.75,10.0,MORTGAGE,Not Verified,TX,0,10,27,13,315088,160285,50.869915706088456,20-30,Very High,0,Mar-2018,No Current Problem,2018-03-01
24000,60,14.08,559.44,C,C3,Current,credit_card,22868.93,2218.99,1131.07,1087.92,37000.0,36.72,Unknown,RENT,Verified,CO,0,0,11,5,62928,52544,83.49860157640478,30-40,Low,0,Feb-2018,No Current Problem,2018-02-01
32000,60,11.98,711.5,B,B5,Current,credit_card,30812.11,2059.96,1187.89,872.07,91000.0,19.57,2.0,MORTGAGE,Source Verified,IL,0,1,27,8,392003,46564,11.87848052183274,10-20,High,0,Mar-2018,No Current Problem,2018-03-01
24000,60,11.99,533.75,B,B5,Fully Paid,debt_consolidation,0.0,24763.8396579561,24000.0,763.84,209000.0,19.76,10.0,MORTGAGE,Source Verified,CA,0,2,39,18,803161,137382,17.105163223811914,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
30000,60,11.99,667.19,B,B5,Current,credit_card,28125.72,3315.97,1874.28,1441.69,125000.0,23.77,3.0,MORTGAGE,Source Verified,NV,0,2,34,26,486854,101933,20.937077645454284,20-30,Very High,0,Jan-2018,No Current Problem,2018-01-01
4200,36,6.71,129.13,A,A3,Current,car,3881.29,384.26,318.71,65.55,105000.0,11.61,2.0,RENT,Not Verified,NY,0,1,23,13,66599,35337,53.05935524557426,10-20,Very High,0,Mar-2018,No Current Problem,2018-03-01
40000,36,9.92,1289.19,B,B2,Current,debt_consolidation,38075.03,2633.49,1924.97,708.52,72000.0,24.86,10.0,MORTGAGE,Not Verified,PA,0,0,15,8,261391,65409,25.02343232934569,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
15000,60,10.9,325.39,B,B4,Current,major_purchase,14427.41,967.09,572.59,394.5,40800.0,19.41,8.0,OWN,Verified,OH,0,8,16,5,44986,34936,77.65971635619971,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
12000,36,9.93,386.82,B,B2,Current,credit_card,10538.41,1927.48,1461.59,465.89,130000.0,29.11,10.0,MORTGAGE,Not Verified,NY,0,6,40,27,504834,161681,32.02656714880535,20-30,Very High,0,Jan-2018,No Current Problem,2018-01-01
12000,36,11.99,398.52,B,B5,Current,debt_consolidation,10578.78,1984.61,1421.22,563.39,71500.0,5.79,5.0,OWN,Not Verified,MD,1,1,30,11,31500,10203,32.39047619047619,0-10,Medium,0,Jan-2018,No Current Problem,2018-01-01
25000,36,5.32,752.87,A,A1,Current,credit_card,22414.72,3004.09,2585.28,418.81,70000.0,22.92,10.0,MORTGAGE,Not Verified,IL,0,2,30,13,67721,50469,74.52488888232601,20-30,Medium,0,Feb-2018,No Current Problem,2018-02-01
10000,60,18.45,256.39,D,D2,Current,vacation,9687.32,748.67,312.68,435.99,70000.0,27.64,0.0,OWN,Source Verified,NH,0,1,47,9,135744,112846,83.13148279113626,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
25000,60,6.07,484.14,A,A2,Current,debt_consolidation,23921.52,1443.99,1078.48,365.51,88000.0,20.45,0.0,RENT,Source Verified,TX,0,0,50,22,219974,135761,61.71683926282196,20-30,High,0,Mar-2018,No Current Problem,2018-03-01
3200,36,11.98,106.26,B,B5,Current,moving,2974.83,316.65,225.17,91.48,75000.0,16.06,4.0,RENT,Verified,NJ,0,2,32,10,46334,34302,74.03202831613933,10-20,Medium,0,Feb-2018,No Current Problem,2018-02-01
15000,36,10.9,490.38,B,B4,Current,debt_consolidation,13927.93,1393.93,1072.07,321.86,168000.0,30.87,5.0,MORTGAGE,Verified,CA,0,2,21,15,1273085,154689,12.150720493918318,30-40,Very High,0,Mar-2018,No Current Problem,2018-03-01
8500,36,11.98,282.25,B,B5,Current,debt_consolidation,8103.25,558.84,396.75,162.09,40000.0,6.15,2.0,RENT,Not Verified,DC,0,2,19,8,31600,4973,15.7373417721519,0-10,Low,0,Mar-2018,No Current Problem,2018-03-01
35000,60,12.62,789.57,C,C1,Current,debt_consolidation,32847.77,3886.5,2152.23,1734.27,165000.0,14.91,5.0,MORTGAGE,Source Verified,AL,0,4,17,8,220509,62310,28.257350040134416,10-20,Very High,0,Jan-2018,No Current Problem,2018-01-01
18000,60,10.9,390.47,B,B4,Current,major_purchase,17079.68,1550.98,920.32,630.66,52000.0,30.33,3.0,MORTGAGE,Not Verified,OH,0,0,18,11,108826,21203,19.483395512101886,30-40,Medium,0,Feb-2018,No Current Problem,2018-02-01
10000,36,5.32,301.15,A,A1,Current,credit_card,8965.88,1201.64,1034.12,167.52,98000.0,11.34,2.0,MORTGAGE,Not Verified,OH,0,5,26,7,63115,48684,77.13538778420343,10-20,High,0,Feb-2018,No Current Problem,2018-02-01
4000,36,11.98,132.82,B,B5,Current,credit_card,3623.07,528.62,376.93,151.69,55000.0,19.42,4.0,RENT,Not Verified,CA,0,1,35,14,62148,33917,54.57456394413336,10-20,Medium,0,Feb-2018,No Current Problem,2018-02-01
30000,60,19.03,778.72,D,D3,Current,debt_consolidation,28758.99,3083.16,1241.01,1842.15,72000.0,13.48,10.0,MORTGAGE,Verified,NJ,0,3,28,9,301914,41727,13.820823148313757,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
8500,36,6.07,258.86,A,A2,Current,credit_card,7849.13,773.71,650.87,122.84,75000.0,22.54,Unknown,MORTGAGE,Not Verified,MO,0,3,72,29,301345,129421,42.94778410127926,20-30,Medium,0,Feb-2018,No Current Problem,2018-02-01
4000,36,13.59,135.92,C,C2,Current,debt_consolidation,3631.32,536.13,368.68,167.45,160000.0,12.48,10.0,MORTGAGE,Source Verified,TX,0,0,28,16,215179,66075,30.706992782752963,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
8000,36,12.61,268.06,C,C1,Current,debt_consolidation,7630.08,524.91,369.92,154.99,25000.0,27.7,Unknown,RENT,Not Verified,WA,0,1,15,10,31255,17238,55.15277555591105,20-30,Low,0,Mar-2018,No Current Problem,2018-03-01
35000,36,14.07,1197.41,C,C3,Current,debt_consolidation,32611.1,3564.87,2388.9,1175.97,375000.0,13.82,0.0,RENT,Verified,CA,0,0,14,12,217648,104473,48.00090053664633,10-20,Very High,0,Mar-2018,No Current Problem,2018-03-01
35000,36,12.62,1172.9,C,C1,Current,debt_consolidation,30890.38,5815.42,4109.62,1705.8,72000.0,25.96,Unknown,OWN,Verified,ID,0,0,34,18,137521,39549,28.758516881058167,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
14000,60,21.45,382.3,D,D5,Current,debt_consolidation,13315.72,1894.82,684.28,1210.54,39000.0,22.09,10.0,MORTGAGE,Source Verified,CA,0,1,35,14,33200,16749,50.4487951807229,20-30,Low,0,Jan-2018,No Current Problem,2018-01-01
17000,36,23.88,665.89,E,E2,Fully Paid,debt_consolidation,0.0,18341.1224439669,17000.0,1341.12,200000.0,8.41,0.0,RENT,Source Verified,CA,1,2,22,11,55577,41806,75.221764398942,0-10,Very High,0,Jan-2018,No Current Problem,2018-01-01
12000,36,9.44,384.06,B,B1,Current,major_purchase,10528.97,1907.71,1471.03,436.68,72000.0,20.1,Unknown,MORTGAGE,Verified,GA,0,0,19,13,265891,43584,16.3916792971556,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
10000,36,6.08,304.59,A,A2,Current,credit_card,8717.45,1519.57,1282.55,237.02,95000.0,22.33,Unknown,MORTGAGE,Not Verified,MD,0,5,36,19,629124,66125,10.510646549805761,20-30,High,0,Jan-2018,No Current Problem,2018-01-01
6300,36,21.85,240.12,D,D5,Current,debt_consolidation,5916.89,712.71,383.11,329.6,42700.0,17.09,2.0,RENT,Not Verified,KS,0,2,11,6,32595,22187,68.06872219665593,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
20000,60,7.34,399.25,A,A4,Current,debt_consolidation,19164.16,1189.59,835.84,353.75,58000.0,6.31,3.0,RENT,Source Verified,CA,0,0,11,10,76600,7326,9.56396866840731,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
8400,36,14.07,287.38,C,C3,Current,credit_card,7826.66,855.57,573.34,282.23,25000.0,20.07,Unknown,OWN,Source Verified,NE,0,1,16,10,18100,13275,73.34254143646409,20-30,Low,0,Mar-2018,No Current Problem,2018-03-01
30000,60,11.99,667.19,B,B5,Current,debt_consolidation,28125.72,3315.97,1874.28,1441.69,35000.0,8.95,10.0,MORTGAGE,Verified,TX,0,0,34,12,212600,8766,4.123236124176858,0-10,Low,0,Jan-2018,No Current Problem,2018-01-01
3600,36,7.97,112.77,A,A5,Current,debt_consolidation,3149.76,562.26,450.24,112.02,24000.0,5.5,Unknown,RENT,Source Verified,NC,0,1,12,7,7800,1935,24.807692307692307,0-10,Low,0,Jan-2018,No Current Problem,2018-01-01
8000,36,11.98,265.64,B,B5,Current,debt_consolidation,6971.64,1326.98,1028.36,298.62,92000.0,5.54,10.0,MORTGAGE,Not Verified,NJ,1,0,13,8,153600,11032,7.182291666666667,0-10,High,0,Feb-2018,No Current Problem,2018-02-01
24000,60,17.47,602.55,D,D1,Current,home_improvement,23229.44,1761.06,770.56,990.5,0.0,17.57,Unknown,MORTGAGE,Not Verified,OK,1,1,20,9,41852,19489,46.566472331071395,10-20,,0,Mar-2018,No Current Problem,2018-03-01
20000,60,23.87,573.86,E,E2,Current,debt_consolidation,19461.35,1668.54,538.65,1129.89,40758.0,31.51,8.0,MORTGAGE,Source Verified,MA,0,0,37,17,64900,36718,56.57627118644067,30-40,Medium,0,Mar-2018,No Current Problem,2018-03-01
30000,36,7.35,931.13,A,A4,Fully Paid,other,0.0,30647.1253977201,30000.0,647.13,103000.0,6.58,7.0,RENT,Source Verified,CA,0,3,37,8,124900,27381,21.92233787029624,0-10,Very High,0,Feb-2018,No Current Problem,2018-02-01
20000,36,16.02,703.34,C,C5,Current,debt_consolidation,17759.26,3558.47,2240.74,1317.73,80000.0,17.04,8.0,RENT,Verified,CA,1,3,19,11,60573,50946,84.10678024862563,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
5000,36,10.9,163.46,B,B4,Current,debt_consolidation,4642.64,487.35,357.36,129.99,43000.0,16.33,4.0,MORTGAGE,Not Verified,FL,0,4,28,11,48536,24868,51.23619581341684,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
25000,60,12.61,563.85,C,C1,Current,debt_consolidation,24087.05,1656.52,912.95,743.57,72000.0,26.38,8.0,MORTGAGE,Not Verified,FL,0,0,24,8,406479,61290,15.078269726111312,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
10500,36,14.08,359.28,C,C3,Current,other,9291.57,1788.19,1208.43,579.76,81200.0,21.73,1.0,MORTGAGE,Not Verified,VA,0,0,36,8,154546,154276,99.82529473425387,20-30,High,0,Jan-2018,No Current Problem,2018-01-01
6000,36,9.92,193.38,B,B2,Current,credit_card,5565.08,576.83,434.92,141.91,47000.0,3.93,Unknown,MORTGAGE,Verified,MI,1,0,9,6,21500,3618,16.827906976744185,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
16000,36,15.05,555.04,C,C4,Current,debt_consolidation,14183.13,2748.44,1816.87,931.57,100000.0,2.0,0.0,OWN,Not Verified,RI,1,0,11,8,114762,16375,14.26866035795821,0-10,High,0,Jan-2018,No Current Problem,2018-01-01
8000,36,9.43,256.01,B,B1,Fully Paid,debt_consolidation,0.0,8039.8166666676,8000.0,39.82,150000.0,12.78,4.0,MORTGAGE,Not Verified,WA,0,2,27,11,417526,99141,23.74486858303435,10-20,Very High,0,Mar-2018,No Current Problem,2018-03-01
10000,36,6.07,304.54,A,A2,Current,home_improvement,8778.48,1360.25,1221.52,138.73,33000.0,4.98,7.0,RENT,Not Verified,UT,0,0,19,8,51511,4663,9.052435402147115,0-10,Low,0,Feb-2018,No Current Problem,2018-02-01
12000,36,6.08,365.5,A,A2,Current,credit_card,10771.91,1451.87,1228.09,223.78,41000.0,20.99,7.0,RENT,Not Verified,CA,0,0,13,12,54987,80834,147.00565588229946,20-30,Medium,0,Feb-2018,No Current Problem,2018-02-01
25000,36,6.08,761.46,A,A2,Current,debt_consolidation,21793.71,3798.86,3206.29,592.57,113000.0,14.76,10.0,MORTGAGE,Not Verified,SC,0,0,16,13,882897,40417,4.577770679932088,10-20,Very High,0,Jan-2018,No Current Problem,2018-01-01
40000,36,10.9,1307.66,B,B4,Current,home_improvement,37141.21,3789.76,2858.79,930.97,315000.0,4.41,10.0,MORTGAGE,Source Verified,CA,0,3,21,7,726766,34794,4.787510698078886,0-10,Very High,0,Mar-2018,No Current Problem,2018-03-01
23000,60,13.58,530.18,C,C2,Current,debt_consolidation,22181.11,1573.19,818.89,754.3,47757.0,25.11,3.0,RENT,Verified,IN,0,0,7,6,39482,36228,91.75826959120612,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
35000,60,18.45,897.37,D,D2,Current,debt_consolidation,33905.61,2656.23,1094.39,1561.84,90000.0,19.83,10.0,RENT,Verified,WA,0,0,15,8,85347,57296,67.13299823075211,10-20,High,0,Mar-2018,No Current Problem,2018-03-01
5000,36,7.35,155.19,A,A4,Current,credit_card,4624.01,463.53,375.99,87.54,30000.0,18.84,0.0,RENT,Not Verified,CT,0,0,4,2,18572,12111,65.2110704286022,10-20,Low,0,Feb-2018,No Current Problem,2018-02-01
40000,36,6.72,1229.97,A,A3,Current,other,34913.5,6134.92,5086.5,1048.42,93000.0,0.32,2.0,RENT,Source Verified,DE,0,1,5,3,53626,17792,33.17793607578414,0-10,High,0,Jan-2018,No Current Problem,2018-01-01
8000,36,16.02,281.34,C,C5,Late (31-120 days),other,7649.37,555.56,350.63,204.93,80000.0,0.38,3.0,RENT,Source Verified,FL,0,1,2,2,33400,27,0.08083832335329341,0-10,High,1,Jan-2018,Medium Risk,2018-01-01
5000,36,10.42,162.33,B,B3,Current,major_purchase,4518.12,646.43,481.88,164.55,60000.0,19.12,6.0,MORTGAGE,Source Verified,AL,1,1,15,5,294287,37706,12.812662468950379,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
27000,60,14.08,629.37,C,C3,Fully Paid,other,0.0,27033.5808,27000.0,33.58,38000.0,0.79,4.0,OWN,Verified,KY,0,1,7,3,79175,1564,1.975371013577518,0-10,Low,0,Jan-2018,No Current Problem,2018-01-01
27000,36,13.58,917.3,C,C2,Current,debt_consolidation,25143.9,2731.53,1856.1,875.43,50000.0,17.83,3.0,MORTGAGE,Source Verified,GA,0,1,20,12,224996,46806,20.80303649842664,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
15000,36,7.97,469.84,A,A5,Current,home_improvement,12514.86,2942.56,2485.14,457.42,68750.0,33.92,Unknown,MORTGAGE,Not Verified,TX,1,4,47,14,390220,71544,18.33427297421967,30-40,Medium,0,Jan-2018,No Current Problem,2018-01-01
6700,36,10.91,219.07,B,B4,Current,other,6058.7,872.22,641.3,230.92,95000.0,8.93,10.0,MORTGAGE,Source Verified,VA,0,0,5,4,37523,24561,65.45585374303761,0-10,High,0,Jan-2018,No Current Problem,2018-01-01
12000,36,9.44,384.06,B,B1,Current,credit_card,10528.73,1954.92,1471.27,483.65,155000.0,23.74,10.0,RENT,Not Verified,NV,0,0,25,15,150143,96138,64.03095715417967,20-30,Very High,0,Jan-2018,No Current Problem,2018-01-01
13550,36,16.01,476.45,C,C5,Current,debt_consolidation,12954.71,928.8,595.29,333.51,62100.0,35.25,10.0,MORTGAGE,Source Verified,CT,0,6,32,18,374372,69968,18.689431901958482,30-40,Medium,0,Mar-2018,No Current Problem,2018-03-01
15000,36,10.42,486.98,B,B3,Current,debt_consolidation,13554.39,1930.55,1445.61,484.94,55000.0,20.42,2.0,MORTGAGE,Not Verified,TN,1,0,29,9,218445,71836,32.88516560232553,20-30,Medium,0,Feb-2018,No Current Problem,2018-02-01
20000,60,17.47,502.12,D,D1,Current,major_purchase,19357.88,1486.95,642.12,844.83,80000.0,27.5,2.0,MORTGAGE,Not Verified,MA,0,3,33,14,251196,54099,21.53656905364735,20-30,High,0,Feb-2018,No Current Problem,2018-02-01
12000,36,18.06,434.2,D,D2,Current,debt_consolidation,10693.25,2158.96,1306.75,852.21,130000.0,8.22,3.0,MORTGAGE,Not Verified,AR,0,0,18,7,57555,35949,62.46025540787073,0-10,Very High,0,Jan-2018,No Current Problem,2018-01-01
38500,36,11.99,1278.57,B,B5,Current,credit_card,34870.48,5204.04,3629.52,1574.52,78000.0,30.75,10.0,MORTGAGE,Source Verified,AK,0,1,28,14,443959,73454,16.545221518203256,30-40,High,0,Jan-2018,No Current Problem,2018-01-01
4350,36,11.98,144.45,B,B5,Current,debt_consolidation,4043.9,427.56,306.1,121.46,47500.0,6.9,8.0,RENT,Not Verified,TX,0,1,11,8,9500,6204,65.30526315789473,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
11000,36,15.04,381.54,C,C4,Current,debt_consolidation,10259.78,1126.24,740.22,386.02,60000.0,8.28,10.0,RENT,Source Verified,NY,0,1,3,2,16500,16252,98.4969696969697,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
6000,36,7.35,186.23,A,A4,Current,major_purchase,2229.0,3856.24,3771.0,85.24,230000.0,15.16,6.0,RENT,Source Verified,MN,0,2,31,17,239700,147821,61.66916979557781,10-20,Very High,0,Jan-2018,No Current Problem,2018-01-01
10000,36,9.44,320.05,B,B1,Current,major_purchase,9023.01,1274.96,976.99,297.97,25000.0,10.75,4.0,RENT,Source Verified,MD,0,0,13,7,37600,10060,26.75531914893617,10-20,Low,0,Feb-2018,No Current Problem,2018-02-01
30000,60,9.92,636.24,B,B2,Current,debt_consolidation,28825.63,1892.19,1174.37,717.82,70000.0,16.6,9.0,RENT,Not Verified,PA,0,0,21,10,98988,37203,37.58334343556795,10-20,Medium,0,Feb-2018,No Current Problem,2018-02-01
10000,36,11.98,332.05,B,B5,Current,debt_consolidation,9533.25,657.44,466.75,190.69,25000.0,41.15,5.0,RENT,Not Verified,MI,0,1,17,11,55785,31247,56.01326521466344,40+,Low,0,Mar-2018,No Current Problem,2018-03-01
19000,36,10.42,616.83,B,B3,Current,major_purchase,16701.19,3073.15,2298.81,774.34,100000.0,10.16,2.0,MORTGAGE,Source Verified,AZ,0,3,19,10,273185,44344,16.232223584750262,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
13000,36,7.35,403.49,A,A4,Current,debt_consolidation,11360.72,2006.83,1639.28,367.55,40000.0,14.93,10.0,OWN,Source Verified,GA,0,1,16,14,92600,13649,14.73974082073434,10-20,Low,0,Jan-2018,No Current Problem,2018-01-01
4000,36,9.44,128.02,B,B1,Fully Paid,debt_consolidation,0.0,4084.027049038,4000.0,84.03,33000.0,2.36,8.0,RENT,Source Verified,CT,0,1,16,7,20800,1884,9.057692307692308,0-10,Low,0,Feb-2018,No Current Problem,2018-02-01
9000,36,9.43,288.01,B,B1,Current,debt_consolidation,8563.78,566.59,436.22,130.37,54237.0,8.19,10.0,RENT,Source Verified,CA,0,1,18,10,31300,12513,39.977635782747605,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
30000,36,18.06,1085.48,D,D2,Current,debt_consolidation,27406.26,4161.32,2593.74,1567.58,140000.0,21.85,3.0,RENT,Not Verified,NC,0,4,47,30,123273,83527,67.75774094895071,20-30,Very High,0,Feb-2018,No Current Problem,2018-02-01
20000,36,21.85,762.26,D,D5,Current,debt_consolidation,18783.84,2262.5,1216.16,1046.34,200000.0,17.19,7.0,MORTGAGE,Source Verified,NY,0,1,17,13,173951,64070,36.83221136986853,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
10000,60,9.93,212.13,B,B2,Current,moving,9476.02,834.73,523.98,310.75,85000.0,4.44,10.0,MORTGAGE,Source Verified,AL,0,0,21,5,251690,14125,5.612062457785371,0-10,High,0,Feb-2018,No Current Problem,2018-02-01
21000,60,20.39,560.94,D,D4,Current,debt_consolidation,20162.49,2219.97,837.51,1382.46,77177.88,28.27,10.0,MORTGAGE,Verified,OK,0,2,22,20,301120,78994,26.233395324123272,20-30,High,0,Feb-2018,No Current Problem,2018-02-01
7000,36,7.34,217.23,A,A4,Current,debt_consolidation,6650.11,428.75,349.89,78.86,85000.0,2.84,4.0,OWN,Not Verified,CA,0,1,7,6,37900,6293,16.604221635883906,0-10,High,0,Mar-2018,No Current Problem,2018-03-01
7500,36,15.05,260.18,C,C4,Current,debt_consolidation,6822.92,1028.18,677.08,351.1,20000.0,33.46,2.0,RENT,Source Verified,AR,0,2,8,7,37389,28178,75.36441199283212,30-40,Low,0,Feb-2018,No Current Problem,2018-02-01
20400,60,10.9,442.53,B,B4,Current,credit_card,19621.28,1315.24,778.72,536.52,84500.0,29.19,10.0,MORTGAGE,Source Verified,MO,0,2,26,11,312460,67856,21.716699737566408,20-30,High,0,Mar-2018,No Current Problem,2018-03-01
1000,36,20.39,37.37,D,D4,Current,major_purchase,937.82,104.75,62.18,42.57,23000.0,13.73,Unknown,OWN,Not Verified,PA,0,1,4,3,13600,8180,60.147058823529406,10-20,Low,0,Mar-2018,No Current Problem,2018-03-01
15000,36,24.85,595.21,E,E3,Fully Paid,credit_card,0.0,16445.3771518466,15000.0,1445.38,31000.0,29.89,1.0,RENT,Not Verified,CA,0,0,7,7,65511,26745,40.82520492741677,20-30,Low,0,Jan-2018,No Current Problem,2018-01-01
21000,36,7.35,651.79,A,A4,Current,major_purchase,18351.93,3288.97,2648.07,640.9,66000.0,2.44,1.0,RENT,Verified,AZ,0,3,30,8,87000,7699,8.849425287356322,0-10,Medium,0,Jan-2018,No Current Problem,2018-01-01
22000,36,9.44,704.11,B,B1,Current,debt_consolidation,19850.62,2845.29,2149.38,695.91,62000.0,21.82,8.0,MORTGAGE,Not Verified,WI,0,1,30,13,251800,27565,10.947180301826846,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
10000,36,17.47,358.88,D,D1,Current,credit_card,9570.3,708.05,429.7,278.35,18000.0,10.09,Unknown,MORTGAGE,Verified,AZ,0,1,13,7,108518,4527,4.171658158093588,10-20,Low,0,Mar-2018,No Current Problem,2018-03-01
12525,36,10.91,409.52,B,B4,Current,credit_card,11326.19,1622.9,1198.81,424.09,35790.0,32.03,4.0,RENT,Verified,NV,0,0,12,12,64475,41624,64.55835595191934,30-40,Low,0,Feb-2018,No Current Problem,2018-02-01
2000,36,9.44,64.01,B,B1,Current,debt_consolidation,1804.6,253.94,195.4,58.54,30000.0,26.56,3.0,MORTGAGE,Not Verified,IN,0,0,16,7,177300,15439,8.707839819514946,20-30,Low,0,Feb-2018,No Current Problem,2018-02-01
25000,36,6.71,768.62,A,A3,Current,home_improvement,22463.5,3023.23,2536.5,486.73,45000.0,2.43,10.0,MORTGAGE,Verified,GA,0,5,27,15,317870,3249,1.022115959354453,0-10,Medium,0,Feb-2018,No Current Problem,2018-02-01
14000,36,15.04,485.59,C,C4,Current,debt_consolidation,13375.87,947.78,624.13,323.65,31000.0,15.64,2.0,RENT,Not Verified,NV,0,0,17,8,37250,34218,91.86040268456375,10-20,Low,0,Mar-2018,No Current Problem,2018-03-01
35000,36,10.41,1136.11,B,B3,Current,credit_card,31626.47,4433.12,3373.53,1059.59,100000.0,14.54,9.0,MORTGAGE,Verified,AL,0,0,41,13,253869,31726,12.496996482437792,10-20,High,0,Feb-2018,No Current Problem,2018-02-01
